dataset,error_bound,system,size(G),compression_speed(s)
powerlog,0.0,ModelarDB,6.6,164
powerlog,0.0,ModelarDB-ALP,6.8,156
powerlog,0.0,ModelarDB-GorillaV-ValueBitRewrite,6.6,169
powerlog,0.01,ModelarDB,5.0,161
powerlog,0.01,ModelarDB-ALP,4.8,153
powerlog,0.01,ModelarDB-GorillaV-ValueBitRewrite,3.4,181
powerlog,0.1,ModelarDB,3.6,151
powerlog,0.1,ModelarDB-ALP,3.5,136
powerlog,0.1,ModelarDB-GorillaV-ValueBitRewrite,2.2,155
powerlog,1.0,ModelarDB,1.8,109
powerlog,1.0,ModelarDB-ALP,1.8,98
powerlog,1.0,ModelarDB-GorillaV-ValueBitRewrite,1.1,112
powerlog,5.0,ModelarDB,1.4,102
powerlog,5.0,ModelarDB-ALP,1.4,92
powerlog,5.0,ModelarDB-GorillaV-ValueBitRewrite,0.642,103
powerlog,10.0,ModelarDB,1.3,103
powerlog,10.0,ModelarDB-ALP,1.3,94
powerlog,10.0,ModelarDB-GorillaV-ValueBitRewrite,0.539,103
turbinelog,0.0,ModelarDB,8.8,864
turbinelog,0.0,ModelarDB-ALP,8.7,796
turbinelog,0.0,ModelarDB-GorillaV-ValueBitRewrite,8.8,885
turbinelog,0.01,ModelarDB,7.9,911
turbinelog,0.01,ModelarDB-ALP,7.8,805
turbinelog,0.01,ModelarDB-GorillaV-ValueBitRewrite,7.2,1031
turbinelog,0.1,ModelarDB,5.6,804
turbinelog,0.1,ModelarDB-ALP,5.6,692
turbinelog,0.1,ModelarDB-GorillaV-ValueBitRewrite,5.4,857
turbinelog,1.0,ModelarDB,4.0,736
turbinelog,1.0,ModelarDB-ALP,4.0,631
turbinelog,1.0,ModelarDB-GorillaV-ValueBitRewrite,3.8,756
turbinelog,5.0,ModelarDB,2.1,687
turbinelog,5.0,ModelarDB-ALP,2.1,581
turbinelog,5.0,ModelarDB-GorillaV-ValueBitRewrite,2.0,1005
turbinelog,10.0,ModelarDB,1.4,664
turbinelog,10.0,ModelarDB-ALP,1.4,568
turbinelog,10.0,ModelarDB-GorillaV-ValueBitRewrite,1.4,629